ANO;PROCESSO ;CONVENENTE;SIAFI/SICONV;CONVÊNIO;OFÍCIO DA AECI;ENTREGUE NO TCU
2015;72031.004996/2013-07;Prefeitura Municipal de Poloni/SP;637284;1234/2008;Ofício nº 31/2015/AECI/MTur;13/01/2015
2015;72031.007816/2013-31;Prefeitura Municipal de Pau 'D Arco/TO;704444;704444/2009;Ofício nº 32/2015/AECI/MTur;13/01/2015
2015;72031.006581/2013-60;Prefeitura Municipal de Jales/SP;741688;1125/2010;Ofício nº 33/2015/AECI/MTur;13/01/2015
2015;72031.007077/2013-87;Prefeitura Municipal de Vertente do Lério/PE;703842;0572/2009;Ofício nº 34/2015/AECI/MTur;13/01/2015
2015;72031.009282/2013-87;Prefeitura Municipal de Ibimirim/PE;629446;354/2008;Ofício nº 35/2015/AECI/MTur;13/01/2015
2015;72031.004144/2013-10;Prefeitura Municipal de Jaguaretama/CE;703872;703872;Ofício nº 36/2015/AECI/MTur;13/01/2015
2015;72031.009425/2013-51;Prefeitura Municipal de Caririaçu/CE;737895;0741/2010;Ofício nº 37/2015/AECI/MTur;13/01/2015
2015;72031.007249/2013-12;Prefeitura Municipal de Maribondo;723196;1693/2009;Ofício nº 38/2015/AECI/MTur;13/01/2015
2015;72031.003248/2013-07;Prefeitura Municipal de Traipu/AL;734021;734021/2010;Ofício nº 39/2015/AECI/MTur;13/01/2015
2015;72031.007030/2013-13;Prefeitura Municipal de Iranduba/AM;632056;0544/2008;Ofício nº 40/2015/AECI/MTur;13/01/2015
2015;72031.008771/2013-11;Prefeitura Municipal de Riacho de Santo Antônio/PB;703152;703152/2009;Ofício nº 41/2015/AECI/MTur;13/01/2015
2015;72031.007074/2013-43;Prefeitura Municipal de Barra do Ribeiro/RS;721102;721102/2009;Ofício nº 42/2015/AECI/MTur;13/01/2015
2015;72031.009483/2013-84;Prefeitura Municipal de Manaíra/PB;738469;862/2010;Ofício nº 43/2015/AECI/MTur;13/01/2015
2015;72031.000048/2014-75;Prefeitura Municipal de Sertãozinho/PB;732674;732674/2010;Ofício nº 44/2015/AECI/MTur;13/01/2015
2015;72031.007105/2013-66;Prefeitura Municipal de Ituporanga/SC;715866;1363/2009;Ofício nº 45/2015/AECI/MTur;13/01/2015
2015;72031.008105/2013-83;Prefeitura Municipal de Jaci/SP;737993;737993/2010;Ofício nº 46/2015/AECI/MTur;13/01/2015
2014;72031.007023/2013-11;Prefeitura Municipal de Barroquinha/CE;565534;0256/2006;Ofício nº 1959/2014/AECI/MTur;12/01/2015
2014;72031.011637/2010-55;Prefeitura Municipal de Upanema/RN;704875;704875/2009;Ofício nº 1971/2014/AECI/MTur;12/01/2015
2014;72031.013338/2010-55;Prefeitura Municipal de Arari/MA;702560;702560/2008;Ofício nº 2000/2014/AECI/MTur;12/01/2015
2014;72031.006882/2010-41;Prefeitura Municipal de Caputira/MG;619521;896/2007;Ofício nº 2062/2014/AECI/MTur;12/01/2015
2014;72031.004364/2011-73;Prefeitura Municipal de São Domingos do Prata/MG;619524 e 625107;956/2007 e 114/2008;Ofício nº 2070/2014/AECI/MTur;12/01/2015
2014;72031.003617/2011-91;Prefeitura Municipal de São João do Rio do Peixe/PB;626072;225/2008;Ofício nº 2179/2014/AECI/MTur;12/01/2015
2014;72031.013830/2010-21;Prefeitura Municipal de Matias Cardoso/MG;703250;703250/2009;Ofício nº 2180/2014/AECI/MTur;12/01/2015
2014;72031.008752/2013-95;Instituto Mineiro de Desenvolvimento e da Cidadania - IMDC/MG;702558;1535/2008;Ofício nº 2182/2014/AECI/MTur;09/01/2015
2014;72031.006587/2013-37;Prefeitura Municipal de Duas Estradas/PB;703581;0456/2009;Ofício nº 1907/2014/AECI/MTur;08/01/2015
2014;72000.003313/2009-77;Sindicato Rural de Formosa;566131;395/2006;Ofício nº 1929/2014/AECI/MTur;08/01/2015
2014;72031.003203/2012-43;Associação das Cidades Historicas de Minas Gerais - MG;702531;1.500/2008;Ofício nº 1948/2014/AECI/MTur;08/01/2015
2014;72031.008058/2013-78;Prefeitura Municipal de Ibicuí/BA;740034;740034/2010;Ofício nº 1965/2014/AECI/MTur;08/01/2015
2014;72031.006744/2012-23;Prefeitura Municipal de Ielmo Marinho/RN;718505;718505/2009;Ofício nº 1973/2014/AECI/MTur;08/01/2015
2014;72031.006045/2011-01;Prefeitura Municipal de Jardim do Seridó/RN;629178;832/2008;Ofício nº 1974/2014/AECI/MTur;08/01/2015
2014;72031.004383/2011-08;Prefeitura Municipal de Bady Bassistt/SP;625504;110/2008;Ofício nº 1978/2014/AECI/MTur;08/01/2015
2014;72031.002554/2011-56;Prefeitura Municipal de Guaraíta/GO;629802;478/2008;Ofício nº 1979/2014/AECI/MTur;08/01/2015
2014;72031.008326/2013-51;Prefeitura Municipal de Presidente Kemmedy/TO ;703703;0472/2009;Ofício nº 1980/2014/AECI/MTur;08/01/2015
2014;72031.014069/2010-44;Prefeitura Municipal de Araguacema/TO;631702;826/2008;Ofício nº 1981/2014/AECI/MTur;08/01/2015
2014;72031.010063/2011-89;Prefeitura Municipal de Buriti Tocantins/TO;742095;742095/2010;Ofício nº 1985/2014/AECI/MTur;08/01/2015
2014;72031.001414/2011-61;Prefeitura Municipal de Gaúchas Juca Ruivo;732033;0059/2010;Ofício nº 1987/2014/AECI/MTur;08/01/2015
2014;72031.008868/2013-24;Prefeitura Municipal de Gravatal/SC;738473;738473/2010;Ofício nº 1988/2014/AECI/MTur;08/01/2015
2014;72031.009839/2013-80;Prefeitura Municipal de traipu/AL;723147;723147/2009;Ofício nº 1989/2014/AECI/MTur;08/01/2015
2014;72031.007984/2011-64;Instituto de Desenvolvimento da Organização Nacional de Excelência Administrativa – IDONEA/PR;704221;704221/2009;Ofício nº 1996/2014/AECI/MTur;08/01/2015
2014;72031.008328/2013-41;Prefeitura Municipal de Torres/rs;704855;1000/2009;Ofício nº 2009/2014/AECI/MTur;08/01/2015
2014;72031.009375/2013-10;Prefeitura Municipal de Ibiapina/CE;700689;1318/2013-10;Ofício nº 2014/2014/AECI/MTur;08/01/2015
2014;72031.008756/2013-73;Instituto Mineiro de Desenvolvimento;742228;742228/2010;Ofício nº 2016/2014/AECI/MTur;08/01/2015
2014;72031.001635/2011-39;Prefeitura Municipal de Peçanha/MG;735823;735823/2010;Ofício nº 2018/2014/AECI/MTur;08/01/2015
2014;72031.012920/2010-02;Prefeitura Municipal de Conceição/PB;703776;703776/2009;Ofício nº 2037/2014/AECI/MTur;08/01/2015
2014;72100.000731/2012-80;Instituto Centro-Brasileiro de Cultura -ICBC;601013;1/2007.;Ofício nº 2050/2014/AECI/MTur;08/01/2015
2014;72031.005912/2013-44;Instituto Cultural e Educacional do Paraguaçu - INCEP;753334;753334/2010;Ofício nº 2052/2014/AECI/MTur;08/01/2015
2014;72031.013346/2010-00;Prefeitura Municipal de Licínio de Almeida/BA;703775;703775/2009;Ofício nº 2058/2014/AECI/MTur;08/01/2015
2014;72031.007146/2013-52;Prefeitura Municipal de Borba/AM;727157;1.828/2009;Ofício nº 2067/2014/AECI/MTur;08/01/2015
2014;72031.008368/2011-21;Prefeitura Municipal de Alto Santo/CE;626407;160/2008;Ofício nº 2089/2014/AECI/MTur;08/01/2015
2014;72031.000235/2011-14;Associação Sergipana de Blocos de Trio/ASBT/SE;733184;0289/2010;Ofício nº 2091/2014/AECI/MTur;08/01/2015
2014;72031.009316/2010-91;Empresa Brasiliense de Turismo - Brasiliatur;703198;703198/2009;Ofício nº 2110/2014/AECI/MTur;08/01/2015
2014;72031.010622/2011-51;Liga de Quadrinhas Juninas do Acre/LIQUAJAC;738475;870/2010;Ofício nº 2116/2014/AECI/MTur;08/01/2015
2014;72031.007245/2013-34;Prefeitura Municipal de Tuparetama/PE;703215;142/2009;Ofício nº 2118/2014/AECI/MTur;08/01/2015
2014;72031.003202/2012-07;Prefeitura Municipal de Capela/AL;633556;781/2008;Ofício nº 2120/2014/AECI/MTur;08/01/2015
2014;72000.002732/2009-91;Prefeitura Municipal de Condado/PB;629315;951/2008;Ofício nº 2121/2014/AECI/MTur;08/01/2015
2014;72031.003783/2013-50;Prefeitura Municipal de Sapé/PB;721037;721037/2009;Ofício nº 2122/2014/AECI/MTur;08/01/2015
2014;72031.009862/2011-11;Prefeitura Municipal de Serra de São Bento/RN;738008;738008/2010;Ofício nº 2123/2014/AECI/MTur;08/01/2015
2014;72031.009635/2013-49;Prefeitura Municipal de Lambari D'Oeste/MT ;722025;1608/2009;Ofício nº 2124/2014/AECI/MTur;08/01/2015
2014;72031.004594/2011-32;Prefeitura Municipal de Alvinpolis/MS;627358;326/2008;Ofício nº 2126/2014/AECI/MTur;08/01/2015
2014;72031.001450/2011-24;Prefeitura Municipal de Casserengue/PB;703552;703552;Ofício nº 2127/2014/AECI/MTur;08/01/2015
2014;72031.004942/2009-57;Prefeitura Municipal de Bom Jesus dos Perdões/SP;701538;701538/2008;Ofício nº 2128/2014/AECI/MTur;08/01/2015
2014;72031.004927/2013-95;Prefeitura Municipal de Passira/PE;737601;0731/2010;Ofício nº 2129/2014/AECI/MTur;08/01/2015
2014;72031.007358/2011-78;Prefeitura Municipal de Uru/SP;703032;703032/2009;Ofício nº 2131/2014/AECI/MTur;08/01/2015
2014;72031.007933/2011-32;Piauí Turismo - PIEMTur/PI;650885;700711/2008;Ofício nº 2134/2014/AECI/MTur;08/01/2015
2014;72031.016474/2010-05;Prefeitura Municipal de Matinhas/PB;701736;701736/2008;Ofício nº 2135/2014/AECI/MTur;08/01/2015
2014;72031.006816/2010-71;Central das Associações de Mantenópolis - CEAMAN/ES;631739;625/2008;Ofício nº 2136/2014/AECI/MTur;08/01/2015
2014;72031.006631/2013-17;Prefeitura Municipal de Barra de Santo Antônio/AL;732941;0271/2010;Ofício nº 2137/2014/AECI/MTur;08/01/2015
2014;72031.011802/2010-79;Prefeitura Municipal de Coronel Vivida/PR;538401;519/2005;Ofício nº 2138/2014/AECI/MTur;08/01/2015
2014;72031.010465/2011-83;Hipnos Companhia das Artes;750419;750419/2010;Ofício nº 2139/2014/AECI/MTur;08/01/2015
2014;72031.007359/2011-12;Prefeitura Municipal de Ibimirim/PE;703471;703471/2009;Ofício nº 2140/2014/AECI/MTur;08/01/2015
2014;72031.008137/2013-89;Prefeitura Municipal de Santa Teresinha/PB;737599;737599/2010;Ofício nº 2141/2014/AECI/MTur;08/01/2015
2014;72031.008450/2011-55;Grupo Interdisciplinar Ecopolis - ECOPOLIS;703559;703559/2009;Ofício nº 2142/2014/AECI/MTur;08/01/2015
2014;72031.004823/2013-81;Prefeitura Municipal de São Simão/GO;706009;706009/2009;Ofício nº 2143/2014/AECI/MTur;08/01/2015
2014;72031.006435/2012-53;Prefeitura Municipal de Quijingue/BA;743426;743426/2010;Ofício nº 2144/2014/AECI/MTur;08/01/2015
2014;72031.009283/2013-21;Prefeitura Municipal de Crisólita/MG;625843;122/2008;Ofício nº 2145/2014/AECI/MTur;08/01/2015
2014;72031.012914/2010-47;Prefeitura Municipal de Pilar/AL;703636;703636/2009;Ofício nº 2146/2014/AECI/MTur;08/01/2015
2014;72031.001097/2012-63;Prefeitura Municipal de Pirajuí/SP;735478;735478/2010;Ofício nº 2147/2014/AECI/MTur;08/01/2015
2014;72031.007598/2011-72;Prefeitura Municipal de Pacatuba/SE;562261;132/2006;Ofício nº 2148/2014/AECI/MTur;08/01/2015
2014;72031.005622/2010-58;Prefeitura Municipal de Taperoá/BA;628703;565/2007;Ofício nº 2153/2014/AECI/MTur;08/01/2015
2014;00190.003393/2014-27;Prefeitura Municipal de Inhambupe/BA;589121;Contrato de Repasse n° 212.862-07/2006;Ofício nº 2154/2014/AECI/MTur;08/01/2015
2014;72031.003784/003784;Prefeitura Municipal de São Miguel/RN;722009;1601/2009;Ofício nº 2155/2014/AECI/MTur;08/01/2015
2014;72031.004756/2011-32;Prefeitura Municipal de Cocal/PI;734018;377/2010;Ofício nº 2156/2014/AECI/MTur;08/01/2015
2014;72031.004394/2011-80;Prefeitura Municipal de Váezea da Palma/MG;625915;189/2008;Ofício nº 2157/2014/AECI/MTur;08/01/2015
2014;72031.007202/2013-59;Prefeitura Municipal de São José do Barreiro/SP;704097;704097/2009;Ofício nº 1886/2014/AECI/MTur;07/01/2015
2014;72031.008721/2013-34;Prefeitura Municipal de Natividade da Serra/SP;701545;1431/2008;Ofício nº 1887/2014/AECI/MTur;07/01/2015
2014;72031.000257/2014-19;Associação de Rodeio Completo de Taciba - Os Tropeiros;732670;0219/2010;Ofício nº 1889/2014/AECI/MTur;07/01/2015
2014;72031.006582/2013-12;Associação Brasileira das Empresas de Transporte Aéreo Regional - ABETAR;732394;0149/2010;Ofício nº 1890/2014/AECI/MTur;07/01/2015
2014;72031.007104/2013-11;Prefeitura Municipal de Tupã/SP;706929;1179/2009;Ofício nº 1896/2014/AECI/MTur;07/01/2015
2014;72031.006627/2013-41;Associação Brasileira das Empresas de Transporte Aéreo Regional - ABETAR;703572;0357/2009;Ofício nº 1897/2014/AECI/MTur;07/01/2015
2014;72031.008759/2013-15;Prefeitura Municipal de Ferraz Vasconcelos/SP;706350;706350/2009;Ofício nº 1898/2014/AECI/MTur;07/01/2015
2014;72031.008377/2013-83;Prefeitura Municipal de Ferraz Iepê/SP;703762;703762/2009;Ofício nº 1899/2014/AECI/MTur;07/01/2015
2014;72031.006772/2010-89;União Brasileiro dos Promotores e Feiras - Ubrafe;593750;322/2007;Ofício nº 1900/2014/AECI/MTur;07/01/2015
2014;72031.008772/2013-66;Prefeitura Municipal de Balbinos/SP;742114;1200/2010;Ofício nº 1901/2014/AECI/MTur;07/01/2015
2014;72031.010689/2011-95;Associção da Parada de Orgulho Gays, Lésbicas, Bissexuais e Trangêneros de São Paulo - APOGLBT/SP;703645;703645/2009;Ofício nº 1904/2014/AECI/MTur;07/01/2015
2014;72031.009373/2013-12;Prefeitura Municipal de Cardoso/SP;733127;0298/2010;Ofício nº 1905/2014/AECI/MTur;07/01/2015
2014;72031.007599/2011-17;Associação dos Produtores Rurais de Manguape de Cima - APRAM (PB);632932;935/2008;Ofício nº 1906/2014/AECI/MTur;07/01/2015
2014;72031.016479/2010-20;Prefeitura Municipal de Olho D'Água/PB;703738;703738/2009;Ofício nº 1910/2014/AECI/MTur;07/01/2015
2014;72031.004386/2011-33;Prefeitura Municipal de Monteiro/PB;629845;962/2008;Ofício nº 1913/2014/AECI/MTur;07/01/2015
2014;72031.009959/2011-15;Prefeitura Municipal de Macaubal/SP;701730 - 640268;701730/2008;Ofício nº 1919/2014/AECI/MTur;07/01/2015
2014;72031.008307/2011-63;Prefeitura Municipal de Curral Velho/PB;703939;703939/2009;Ofício nº 1922/2014/AECI/MTur;07/01/2015
2014;72031.008366/2011-31;Prefeitura Municipal de Boa Ventura/PB;629146;656/2008;Ofício nº 1923/2014/AECI/MTur;07/01/2015
2014;72031.015723/2010-37;Prefeitura Municipal de Matinhas/PB;707391;707391/2009;Ofício nº 1924/2014/AECI/MTur;07/01/2015
2014;72031.006739/2012-11;Prefeitura Municipal de Várzea/PB;735869;0482/2010;Ofício nº 1925/2014/AECI/MTur;07/01/2015
2014;72031.000323/2014-51;Premium Avança Brasil;704165;704165/2009;Ofício nº 1927/2014/AECI/MTur;07/01/2015
2014;72031.009784/2011-46;Prefeitura Municipal de São Luiz do Norte/GO;628033;229/2008;Ofício nº 1928/2014/AECI/MTur;07/01/2015
2014;72031.005912/2013-88;Prefeitura Municipal de Queluz/SP;743440;743440/2010;Ofício nº 1937/2014/AECI/MTur;07/01/2015
2014;72031.004925/2013-04;Prefeitura Municipal de Ruachinho/MG;705679;705679/2009;Ofício nº 1941/2014/AECI/MTur;07/01/2015
2014;72031.004392/2011-91;Prefeitura Municipal de Barra Longa/MG;629372;442/2008;Ofício nº 1942/2014/AECI/MTur;07/01/2015
2014;72031.002698/2009-55;Prefeitura Municipal de Chalé/MG;629152;371/2008;Ofício nº 1943/2014/AECI/MTur;07/01/2015
2014;72031.004956/2010-15;Prefeitura Municipal de Santa Efigência de Minas/MG;704727;704727/2009;Ofício nº 1947/2014/AECI/MTur;07/01/2015
2014;72031.008809/2013-56;Prefeitura Municipal de Jequiri/MG;717481;1390/2009;Ofício nº 1949/2014/AECI/MTur;07/01/2015
2014;72031.007106/2013-19;Prefeitura Municipal de Periquito/MG;742109;742109/2010;Ofício nº 1950/2014/AECI/MTur;07/01/2015
2014;72031.001301/2014-16;Prefeitura Municipal de Cunha/SP;732310;732310/2010;Ofício nº 1951/2014/AECI/MTur;07/01/2015
2014;72031.001030/2011-48;Prefeitura Municipal de Lourdes/SP;733020;733020/2010;Ofício nº 1952/2014/AECI/MTur;07/01/2015
2014;"72031;007486/2011-11";Prefeitura Municipal de Turiúba/SP;631615;517/2008;Ofício nº 1953/2014/AECI/MTur;07/01/2015
2014;72031.008827/2013-38;Associção Brasileira das Empresas de Transporte Aéreo Regional - ABETAR;623731;0059/2008;Ofício nº 1954/2014/AECI/MTur;07/01/2015
2014;72031.007819/2013-74;Prefeitura Municipal de Neves Paulista/SP;759463;759463/2011;Ofício nº 1955/2014/AECI/MTur;07/01/2015
2014;72031.007204/2013-48;Prefeitura Municipal de Jales/SP;732316;0148/2010;Ofício nº 1956/2014/AECI/MTur;07/01/2015
2014;72031.007787/2011-45;Prefeitura Municipal de Fortim/CE;629777;993/2008;Ofício nº 1961/2014/AECI/MTur;07/01/2015
2014;72031.007275/2012-60;Prefeitura Municipal de Umari/CE;704199;747/2009;Ofício nº 1962/2014/AECI/MTur;07/01/2015
2014;72031.007800/2011-66;Fundação Cultural Manoel Antônio Nunes Neto;585743;544/2006;Ofício nº 1963/2014/AECI/MTur;07/01/2015
2014;72031.007258/2011-41;Fórum Internacional de Comunicação da Ecologia e Turismo-Ficet;632616;1155/2008;Ofício nº 1968/2014/AECI/MTur;07/01/2015
2014;72031.006812/2010-92;Prefeitura Municipal de Caraúbas/RN;629057;413/2008;Ofício nº 1972/2014/AECI/MTur;07/01/2015
2014;72031.012118/2010-12;Prefeitura Municipal de Vila Boa/GO;703222;703222/2009;Ofício nº 1976/2014/AECI/MTur;07/01/2015
2014;72031.007022/2013-77;Prefeitura Municipal de Caldas Novas/GO;702347;1.585/2008;Ofício nº 1977/2014/AECI/MTur;07/01/2015
2014;72031.008357/2012-21;Prefeitura Municipal de Araguaçu/TO;705009;705009/2009;Ofício nº 1982/2014/AECI/MTur;07/01/2015
2014;72031.008810/2013-81;Prefeitura Municipal de Caseara/TO;735680;735680/2010;Ofício nº 1983/2014/AECI/MTur;07/01/2015
2014;72031.013816/2010-27;Prefeitura Municipal de Araguanã/TO;703870;703870/2009;Ofício nº 1984/2014/AECI/MTur;07/01/2015
2014;72031.002646/2012-17;Prefeitura Municipal de Caseara/TO;632894;672/2008;Ofício nº 1986/2014/AECI/MTur;07/01/2015
2014;72031.008454/2013-03;Prefeitura Municipal de Rio Largo/AL;736673;736673/2010;Ofício nº 1990/2014/AECI/MTur;07/01/2015
2014;72031.003785/2013-49;Fundação Delmiro Gouveia/FUNDEG/AL;736662;600/2010;Ofício nº 1991/2014/AECI/MTur;07/01/2015
2014;72031.006633/2013-06;Prefeitura Municipal de Pilar/AL;700449;1288/2008;Ofício nº 1992/2014/AECI/MTur;07/01/2015
2014;72031.007814/2013-41;Prefeitura Municipal de Iporã/PR;732132;0081/2010;Ofício nº 1994/2014/AECI/MTur;07/01/2015
2014;72031.008895/2012-16;Luciana Andréa Accorsi Berardi;NÃO TEM;NÃO TEM;Ofício nº 1997/2014/AECI/MTur;07/01/2015
2014;72031.008545/2013-31;Instituto Educar e Crescer - IEC;629933;1141/2008;Ofício nº 1998/2014/AECI/MTur;07/01/2015
2014;72031.004929/2013-84;Prefeitura Municipal de Maracaju/MS;703219;703219/2009;Ofício nº 2001/2014/AECI/MTur;07/01/2015
2014;72031.009284/2013-76;Associação Brasileira de Agências de Viagens do Estado do Amapá/ABAV/AP;527544;321/2005;Ofício nº 2005/2014/AECI/MTur;07/01/2015
2014;72031.006488/2012-74;Prefeitura Municipal de Mucajaí/RR;732088;732088/2010;Ofício nº 2006/2014/AECI/MTur;07/01/2015
2014;72031.008257/2013-86;Prefeitura Municipal de Macajaí/RR;732103;732103/2010;Ofício nº 2007/2014/AECI/MTur;07/01/2015
2014;72031.013811/2010-02;Prefeitura Municipal de Parobé/RS;703380;703380/2009;Ofício nº 2012/2014/AECI/MTur;07/01/2015
2014;72031.015714/2010-46;Prefeitura Municipal de Jaguaruana/CE;722007;722007/2009;Ofício nº 2013/2014/AECI/MTur;07/01/2015
2014;72031.009902/2013-88;Prefeitura Municipal de Santa Cruz de Salinas/MG;721009;1.559/2009;Ofício nº 2017/2014/AECI/MTur;07/01/2015
2014;72031004395/2011-24;Prefeitura Municipal de Fagundes/PB ;629856;772/2008;Ofício nº 2019/2014/AECI/MTur;07/01/2015
2014;72031.006487/2012-20;Instituto FACC;741213;741213/2010;Ofício nº 2026/2014/AECI/MTur;07/01/2015
2014;72031008059/2013-12;Prefeitura Municipal de Frei Inocêncio/MG;721999;1596/2009;Ofício nº 2027/2014/AECI/MTur;07/01/2015
2014;72031.013782/2010-71;Prefeitura Municipal de Alfenas/MG;700148;700148/2008;Ofício nº 2031/2014/AECI/MTur;07/01/2015
2014;72031.008907/2010-41;Prefeitura Municipal de Piancó/PB;703565;703565/2009;Ofício nº 2034/2014/AECI/MTur;07/01/2015
2014;72000.000656/2011-76;Instituto Centro-Brasileiro de Cultura -ICBC;552713;56/2005;Ofício nº 2035/2014/AECI/MTur;07/01/2015
2014;72031.007484/2011-66;Prefeitura Municipal de Marcação/PB;635262;803/2008;Ofício nº 2036/2014/AECI/MTur;07/01/2015
2014;72031.006390/2013-06;Prefeitura Municipal de Silva Jardim/RJ;722027;1614/2009;Ofício nº 2038/2014/AECI/MTur;07/01/2015
2014;00190.006478/2014-67;Brasilcruise - Associação Brasileira de Terminais de Cruzeiros Marítimos;550799;Contrato de Repasse n° 175.873-43/2005;Ofício nº 2039/2014/AECI/MTur;07/01/2015
2014;72031.001460/2011-60;Associação Educacional e Assintencial Zumbi dos Palmares de Guapimirim/ZPG;736920;736.920/2010;Ofício nº 2041/2014/AECI/MTur;07/01/2015
2014;72031.009964/2011-28;Prefeitura Municipal de Conceição/PB;740404;740404/2010;Ofício nº 2043/2014/AECI/MTur;07/01/2015
2014;72031.011872/2010-27;Prefeitura Municipal de Wenceslau Guimarães/BA;629445;461/2008;Ofício nº 2048/2014/AECI/MTur;07/01/2015
2014;72031.006995/2012-16;Prefeitura Municipal de Nova Fátima/BA;736825;736825/2010;Ofício nº 2049/2014/AECI/MTur;07/01/2015
2014;72100.000001/2013-60;Federação Brasileira de Convention & Visitors Bureaux;592862;04/2007.;Ofício nº 2051/2014/AECI/MTur;07/01/2015
2014;72031.000318/2011-03;Prefeitura Municipal de São José do Egito/PE;733121;733121/2010;Ofício nº 2053/2014/AECI/MTur;07/01/2015
2014;72000.002794/2009-01;Prefeitura Municipal de Angelim/PE;626804;195/2008;Ofício nº 2054/2014/AECI/MTur;07/01/2015
2014;72031.003186/2011-63;Prefeitura Municipal de Nilo Peçanha/BA;742528;742528/2010;Ofício nº 2059/2014/AECI/MTur;07/01/2015
2014;72031.008541/2013-52;Organização Trajetória Mundial-OTM;705689;866/2008;Ofício nº 2055/2014/AECI/MTur;07/01/2015
2014;72031.007350/2011-10;Instituto de Apoio Técnico Especializado a Cidadania - Iatec;564108;283/2006;Ofício nº 2057/2014/AECI/MTur;07/01/2015
2014;72031.002644/2012-28;Prefeitura Municipal de Ipubí/PE;703481;282/2009;Ofício nº 2060/2014/AECI/MTur;07/01/2015
2014;72031.012125/2010-14;Associação Cultural de Capacitação e Inclusão Social - Ascapis;703249;703249/2009;Ofício nº 2068/2014/AECI/MTur;07/01/2015
2014;72031.006585/2013-48;Prefeitura Municipal de Afolgados da Ingazeira/PE;703854;703854/2009;Ofício nº 2069/2014/AECI/MTur;07/01/2015
2014;72031.008255/2013-97;Prefeitura Municipal de Teixeiras/MG;700629;700629/2008;Ofício nº 2071/2014/AECI/MTur;07/01/2015
2014;72031.006736/2012-87;Prefeitura Municipal de Alto Santo/CE;702195;702195/2008;Ofício nº 2075/2014/AECI/MTur;07/01/2015
2014;72031.008061/2013-91;Prefeitura Municipal de Belo Oriente/MG;722528;722528/2009;Ofício nº 2076/2014/AECI/MTur;07/01/2015
2014;72031.006077/2010-17;Prefeitura Municipal de São João do Paraiso/MG;627952;343/2008;Ofício nº 2077/2014/AECI/MTur;07/01/2015
2014;72031.006586/2013-92;Associação Sergipana de Blocos de Trio - ASBT;732144;0089/2010;Ofício nº 2078/2014/AECI/MTur;07/01/2015
2014;72031.001244/2010-33;Prefeitura Municipal de Pinhão/SE;703065;703065/2009;Ofício nº 2079/2014/AECI/MTur;07/01/2015
2014;72031.006584/2013-01;Associação Sergipana de Blocos de Trio - ASBT;703084;703084/2009;Ofício nº 2081/2014/AECI/MTur;07/01/2015
2014;72031001385/2011-37;Associação Sergipana de Blocos de Trio - ASBT;736114;736114/2010;Ofício nº 2082/2014/AECI/MTur;07/01/2015
2014;72031.005336/2011-73;Prefeitura Municipal de Rio Grande do Piaí/PI;737284;737284/2010;Ofício nº 2085/2014/AECI/MTur;07/01/2015
2014;72031.008971/2013-74;Piauí Turismo - PieMTur;632940;995/2008;Ofício nº 2086/2014/AECI/MTur;07/01/2015
2014;72031.007210/2013-03;Prefeitura Municipal de Itapipoca/CE;702725;1.637/2008;Ofício nº 2088/2014/AECI/MTur;07/01/2015
2014;72031.008102/2013-40;Prefeitura Municipal de Poço Verde/SE;734149;389/2010;Ofício nº 2090/2014/AECI/MTur;07/01/2015
2014;72031.008109/2013-61;Prefeitura Municipal de Nossa Senhora das Dores/SE;732426;732426/2010;Ofício nº 2092/2014/AECI/MTur;07/01/2015
2014;72031.001726/2010-93;Prefeitura Municipal de Pombos/PE;595664;466/2007;Ofício nº 2094/2014/AECI/MTur;07/01/2015
2014;72031.000796/2012-96;Prefeitura Municipal de Cortês/PE;628544;069/2008;Ofício nº 2095/2014/AECI/MTur;07/01/2015
2014;72031.006632/2013-53;Instituto Práxis de Educação, Cultura e Ação Social;633835;1175/2008;Ofício nº 2101/2014/AECI/MTur;07/01/2015
2014;72031.006241/2012-58;Prefeitura Municipal de Alto Santo/CE;714416;714416/2009;Ofício nº 2102/2014/AECI/MTur;07/01/2015
2014;72031.006994/2012-63;Prefeitura Municipal de Itapipoca/CE;728607;1.889/2009;Ofício nº 2103/2014/AECI/MTur;07/01/2015
2014;72031.006298/2010-95;Prefeitura Municipal de Quipapá/PE;623794;79/2008;Ofício nº 2105/2014/AECI/MTur;07/01/2015
2014;72031.007360/2011-47;Prefeitura Municipal de Belém de Maria/PE;623054;916/2007;Ofício nº 2106/2014/AECI/MTur;07/01/2015
2014;72031.009482/2011-78;Prefeitura Municipal de Santo Amaro do Maranhão/MA;705014;705014/2009;Ofício nº 2115/2014/AECI/MTur;07/01/2015
2014;72031.009791/2011-48;Prefeitura Municipal de Rio Branco/MT;703378;0233/2009;Ofício nº 2117/2014/AECI/MTur;07/01/2015
2014;72031.008897/2013-96;Prefeitura Municipal de Bom Sucesso/PB;703535;703535/2009;Ofício nº 2119/2014/AECI/MTur;07/01/2015
2014;72031.008060/2013-47;Prefeitura Municipal de Belém de Maria/PE;700075;1229/2008;Ofício nº 2125/2014/AECI/MTur;07/01/2015
2014;72031.012112/2010-37;Prefeitura Municipal de Cunha/SP;630696;737/2008;Ofício nº 2132/2014/AECI/MTur;07/01/2015
2014;72031.008775/2013-08;Associação Cria Brasil;704436;704436/2009;Ofício nº 2133/2014/AECI/MTur;07/01/2015
