Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
BANCO MONEO S.A.;13637797000184;MILHAS TURISMO LTDA;MG;BELO HORIZONTE; R$ 571.000,00 ;02/01/2026;21/01/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;4222940000186;TRANSPORTES JU TUR LTDA;SC;PALMA SOLA; R$ 593.100,00 ;12/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;2714199000145;EXPRESSO SEM FRONTEIRAS LTDA;MG;CONGONHAS; R$ 665.000,00 ;12/01/2026;21/01/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;15548800000119;JOKA TRANSPORTES LTDA;PR;PONTA GROSSA; R$ 1.935.000,00 ;12/01/2026;21/10/2030;60;3;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;89308779000110;EMPRESA AUTO VIACAO PUTINGA LTDA;RS;ENCANTADO; R$ 877.000,00 ;12/01/2026;21/01/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;92080019000103;LOCAL LOCADORA DE ONIBUS CANOAS LTDA;RS;CANOAS; R$ 800.000,00 ;16/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;92080019000103;LOCAL LOCADORA DE ONIBUS CANOAS LTDA;RS;CANOAS; R$ 1.036.000,00 ;16/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;92080019000103;LOCAL LOCADORA DE ONIBUS CANOAS LTDA;RS;CANOAS; R$ 1.060.000,00 ;16/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;92080019000103;LOCAL LOCADORA DE ONIBUS CANOAS LTDA;RS;CANOAS; R$ 810.000,00 ;16/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;92080019000103;LOCAL LOCADORA DE ONIBUS CANOAS LTDA;RS;CANOAS; R$ 770.000,00 ;16/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;GRANDE_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
